good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Anlaşılıyor ki kız ablasına hediyeyi hiç beklemeden verdi.,Anlaşılıyor ki kız ablasından hediyeyi hiç beklemeden verdi.,ablasına,ablasından,verdi,argument_structure,ditransitive
Annem kekin içine biraz fındık koyar.,Annem kekin içini biraz fındık koyar.,içine,içini,koyar,argument_structure,ditransitive
Yönetmen ekibine son kanunları verdi.,Yönetmen ekibini son kanunları verdi.,ekibine,ekibini,verdi,argument_structure,ditransitive
Gelin altın bileziği kadısına hediye etti.,Gelin altın bilezikle kadısına hediye etti.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Manav bize en taze sebzelerden ayırdı.,Manav bizi en taze sebzelerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Dün sütü ben aldığım için annem markete kızımı yolladı.,Dün sütü ben aldığım için annem markette kızımı yolladı.,markete,markette,yolladı,argument_structure,ditransitive
Çocuk annesine yeni bir klibi söyledi.,Çocuk annesini yeni bir klibi söyledi.,annesine,annesini,söyledi,argument_structure,ditransitive
O halde antrenör atletlere beslenme planı hazırladı.,O halde antrenör atletleri beslenme planı hazırladı.,atletlere,atletleri,hazırladı,argument_structure,ditransitive
Dedem bana devrimci olaylarını anlattı.,Dedem beni devrimci olaylarını anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Antrenör sporculara yeni hileler öğretti.,Antrenör sporcuları yeni hileler öğretti.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Öğretmen öğrencilere bol bol gazete okumalarını tavsiye etti.,Öğretmen öğrencileri bol bol gazete okumalarını tavsiye etti.,öğrencilere,öğrencileri,tavsiye etti,argument_structure,ditransitive
Kız kardeşim köpeği komşuya götürdü.,Kız kardeşim köpeğe komşuya götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Kasap bana en iyi yumurtadan ayırdı.,Kasap beni en iyi yumurtadan ayırdı.,bana,beni,ayırdı,argument_structure,ditransitive
Antrenör sporculara yeni takımlar öğretti.,Antrenör sporcuları yeni takımlar öğretti.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Yönetmen oyunculara son planları verdi.,Yönetmen oyuncuları son planları verdi.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Şair dinleyicilerine yeni kompozisyon kitabını tanıttı.,Şair dinleyicilerini yeni kompozisyon kitabını tanıttı.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Belki size bu konudaki düşüncelerinden bahsetmiştir.,Belki sizi bu konudaki düşüncelerinden bahsetmiştir.,size,sizi,bahsetmiştir,argument_structure,ditransitive
Arkadaşım bana yeni bir klibi önerdi.,Arkadaşım beni yeni bir klibi önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Teyzem kitapları ailelere dağıttı.,Teyzem kitaplara ailelere dağıttı.,kitapları,kitaplara,dağıttı,argument_structure,ditransitive
Üzerime koca bir fincan kahveyi döktüm.,Üzerimde koca bir fincan kahveyi döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki odaya astı.,Ayakkabılarını çıkarıp paltosuna girişteki odaya astı.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Asistanı dosyaları ofisine getirdi.,Asistanı dosyalarla ofisine getirdi.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Arkadaşım bana yılbaşı hatırası aldı.,Arkadaşım beni yılbaşı hatırası aldı.,bana,beni,aldı,argument_structure,ditransitive
Küçük çocuk annesine vitrindeki aksesuarı gösterdi.,Küçük çocuk annesini vitrindeki aksesuarı gösterdi.,annesine,annesini,gösterdi,argument_structure,ditransitive
Çocuk babasına en sevdiği kıyafeti verdi.,Çocuk babasını en sevdiği kıyafeti verdi.,babasına,babasını,verdi,argument_structure,ditransitive
Annem abime yeni bir dosya aldı.,Annem abimi yeni bir dosya aldı.,abime,abimi,aldı,argument_structure,ditransitive
Belli ki öğretmen öğrencilere yeni şarkıyı öğretti.,Belli ki öğretmen öğrencileri yeni şarkıyı öğretti.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
Halam bana battaniye hediye etti.,Halam beni battaniye hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Öğretmen öğrencilere yeni şarkıyı öğretti.,Öğretmen öğrencileri yeni şarkıyı öğretti.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
Takı töreninde damadın yakasına çeyrek altın taktılar.,Takı töreninde damadın yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala semi yolladı.,Dün ekmeği ben aldığım için annem bakkalda semi yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Yönetmen oyunculara son talimatları verdi.,Yönetmen oyuncuları son talimatları verdi.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Kız ablasına hediyeyi hiç beklemeden verdi.,Kız ablasından hediyeyi hiç beklemeden verdi.,ablasına,ablasından,verdi,argument_structure,ditransitive
Kasap bana en iyi biftekten ayırdı.,Kasap beni en iyi biftekten ayırdı.,bana,beni,ayırdı,argument_structure,ditransitive
Öğretmen öğrencilere bol bol dvd okumalarını tavsiye etti.,Öğretmen öğrencileri bol bol dvd okumalarını tavsiye etti.,öğrencilere,öğrencileri,tavsiye etti,argument_structure,ditransitive
Takı huzurunda damadın yakasına çeyrek altın taktılar.,Takı huzurunda damadın yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Çocuk annesine yeni bir farkı söyledi.,Çocuk annesini yeni bir farkı söyledi.,annesine,annesini,söyledi,argument_structure,ditransitive
Arkadaşım bana yeni bir müziği önerdi.,Arkadaşım beni yeni bir müziği önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Yönetmen oyunculara oyunlarını dağıttı.,Yönetmen oyuncuları oyunlarını dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın içine banardım.,Küçükken ekmeğimde hep salatanın içine banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Yazar okurlarına yeni kitabını tanıttı.,Yazar okurlarını yeni kitabını tanıttı.,okurlarına,okurlarını,tanıttı,argument_structure,ditransitive
Yazar okurlarına yeni filmini tanıttı.,Yazar okurlarını yeni filmini tanıttı.,okurlarına,okurlarını,tanıttı,argument_structure,ditransitive
Gelin altın bileziği annesine hediye etti.,Gelin altın bilezikle annesine hediye etti.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Teyzem oyuncakları hayvanlara dağıttı.,Teyzem oyuncaklara hayvanlara dağıttı.,oyuncakları,oyuncaklara,dağıttı,argument_structure,ditransitive
Arkadaşım bana yeni bir dansı önerdi.,Arkadaşım beni yeni bir dansı önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Arkadaşım bana yeni bir diz önerdi.,Arkadaşım benle yeni bir diz önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Arkadaşım bana yeni bir şarkı önerdi.,Arkadaşım beni yeni bir şarkı önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Evlerinin bahçesine zeytin yaprağı dikmişler.,Evlerinin bahçesinden zeytin yaprağı dikmişler.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Takı töreninde gelinin yakasına çeyrek altın taktılar.,Takı töreninde gelinin yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Kasap bana en iyi etten ayırdı.,Kasap beni en iyi etten ayırdı.,bana,beni,ayırdı,argument_structure,ditransitive
Annem kardeşime yeni bir kitap aldı.,Annem kardeşimi yeni bir kitap aldı.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
Arkadaşım bana en son yayınları verdi.,Arkadaşım beni en son yayınları verdi.,bana,beni,verdi,argument_structure,ditransitive
Öğretmen öğrencilere planları zamanında yapmalarını nasihat etti.,Öğretmen öğrencileri planları zamanında yapmalarını nasihat etti.,öğrencilere,öğrencileri,nasihat etti,argument_structure,ditransitive
Kuzenim kediyi tarlaya götürdü.,Kuzenim kediye tarlaya götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Yanlış kararlar halkı nefretsizliğe mahkum etti.,Yanlış kararlar halkla nefretsizliğe mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Kasap bana en iyi mısırdan ayırdı.,Kasap beni en iyi mısırdan ayırdı.,bana,beni,ayırdı,argument_structure,ditransitive
Manav bize en taze meyvelerden ayırdı.,Manav bizi en taze meyvelerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Oğlum bisikleti sevgiline ödünç verdi.,Oğlum bisikletle sevgiline ödünç verdi.,bisikleti,bisikletle,ödünç verdi,argument_structure,ditransitive
Öğretmen öğrencilere yeni soruyu anlattı.,Öğretmen öğrencileri yeni soruyu anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın alanına bağladı.,Dileklerini yazdığı kağıda bir ağacın alanına bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Kasap bana en güzel meyvelerden ayırdı.,Kasap beni en güzel meyvelerden ayırdı.,bana,benle,ayırdı,argument_structure,ditransitive
Komşumuz bize taze bal getirdi.,Komşumuz bizi taze bal getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Bu ödülü düzen bozan annelere ithaf ediyorum.,Bu ödüle düzen bozan annelere ithaf ediyorum.,ödülü,ödüle,ithaf ediyorum,argument_structure,ditransitive
Arkadaşım bana yılbaşı anısı aldı.,Arkadaşım beni yılbaşı anısı aldı.,bana,beni,aldı,argument_structure,ditransitive
Çocuk dedesine en sevdiği diziyi verdi.,Çocuk dedesini en sevdiği diziyi verdi.,dedesine,dedesini,verdi,argument_structure,ditransitive
Ayakkabılarını çıkarıp şapkasını girişteki dolaba astı.,Ayakkabılarını çıkarıp şapkasına girişteki dolaba astı.,şapkasını,şapkasına,astı,argument_structure,ditransitive
Asistanı belgeleri yanına getirdi.,Asistanı belgelerle yanına getirdi.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Komşumuz bize taze fındık getirdi.,Komşumuz bizi taze fındık getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Evlerinin arka bahçesine havuz ağacı dikmişler.,Evlerinin arka bahçesinden havuz ağacı dikmişler.,arka bahçesine,arka bahçesinden,dikmişler,argument_structure,ditransitive
Garson misafirlere tatlıları servis etti.,Garson misafirleri tatlıları servis etti.,misafirlere,misafirleri,servis etti,argument_structure,ditransitive
Dedem torunlarına tekerlemeler anlattı.,Dedem torunlarını tekerlemeler anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Annem pastanın üstüne biraz gofret koyar.,Annem pastanın üstünü biraz gofret koyar.,üstüne,üstünü,koyar,argument_structure,ditransitive
Dedem torunlarına olaylar anlattı.,Dedem torunlarını olaylar anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki masaya astı.,Ayakkabılarını çıkarıp paltosuna girişteki masaya astı.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Annem kardeşime yeni bir kitap aldı.,Annem kardeşimi yeni bir kitap aldı.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
Yıllardır kendini sadece durumuna adamış.,Yıllardır kendinden sadece durumuna adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Evlerinin arka bahçesine elma ağacı dikmişler.,Evlerinin arka bahçesinden elma ağacı dikmişler.,arka bahçesine,arka bahçesinden,dikmişler,argument_structure,ditransitive
Oğlum topu okuluna ödünç verdi.,Oğlum topla okuluna ödünç verdi.,topu,topla,ödünç verdi,argument_structure,ditransitive
Dün gece oğlanı apar topar ameliyathaneye götürdük.,Dün gece oğlana apar topar ameliyathaneye götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Anlaşılan asistanı dosyaları masasına getirdi.,Anlaşılan asistanı dosyalarla masasına getirdi.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Takı töreninde geline burma bileklik taktılar.,Takı töreninde gelini burma bileklik taktılar.,geline,gelini,taktılar,argument_structure,ditransitive
Yönetmen sanatçılara rollerini dağıttı.,Yönetmen sanatçıları rollerini dağıttı.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Üzerime koca bir fincan kahveyi döktüm.,Üzerimde koca bir fincan kahveyi döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Arkadaşım bana yılbaşı hediyesi aldı.,Arkadaşım beni yılbaşı hediyesi aldı.,bana,beni,aldı,argument_structure,ditransitive
Dileklerini yazdığı kartı bir ağacın koluna bağladı.,Dileklerini yazdığı karta bir ağacın koluna bağladı.,kartı,karta,bağladı,argument_structure,ditransitive
Arkadaşım bana yılbaşı hediyesi aldı.,Arkadaşım beni yılbaşı hediyesi aldı.,bana,beni,aldı,argument_structure,ditransitive
Arkadaşım bana yeni bir albümü önerdi.,Arkadaşım beni yeni bir albümü önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Komşumuz bize taze incir getirdi.,Komşumuz bizi taze incir getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Arkadaşım bana doğum günü kutusu aldı.,Arkadaşım beni doğum günü kutusu aldı.,bana,beni,aldı,argument_structure,ditransitive
Teyzem kitapları ebeveynlere dağıttı.,Teyzem kitaplara ebeveynlere dağıttı.,kitapları,kitaplara,dağıttı,argument_structure,ditransitive
Gelin gerdanlığı sevgilisine hediye etti.,Gelin gerdanlığa sevgilisine hediye etti.,gerdanlığı,gerdanlığa,hediye etti,argument_structure,ditransitive
Dedem bana devrimci anılarını anlattı.,Dedem beni devrimci anılarını anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Yazar okurlarına yeni kitabını tanıttı.,Yazar okurlarını yeni kitabını tanıttı.,okurlarına,okurlarını,tanıttı,argument_structure,ditransitive
Asistanı belgeleri sandalyesine getirdi.,Asistanı belgelerle sandalyesine getirdi.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Annem kardeşime yeni bir kaset aldı.,Annem kardeşimi yeni bir kaset aldı.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
Şirket personeline yeni eylemler verdi.,Şirket personelini yeni eylemler verdi.,personeline,personelini,verdi,argument_structure,ditransitive
Asistanı dosyaları yanına getirdi.,Asistanı dosyalarla yanına getirdi.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki vestiyere astı.,Ayakkabılarını çıkarıp paltosuna girişteki vestiyere astı.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Arkadaşım bana yeni bir gazete önerdi.,Arkadaşım beni yeni bir gazete önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Çocuk annesine yeni bir müziği söyledi.,Çocuk annesini yeni bir müziği söyledi.,annesine,annesini,söyledi,argument_structure,ditransitive
Belli ki antrenör atletlere beslenme planı hazırladı.,Belli ki antrenör atletleri beslenme planı hazırladı.,atletlere,atletleri,hazırladı,argument_structure,ditransitive
Yönetmen ekibine son standartları verdi.,Yönetmen ekibini son standartları verdi.,ekibine,ekibini,verdi,argument_structure,ditransitive
Evlerinin bahçesine zeytin camı dikmişler.,Evlerinin bahçesinden zeytin camı dikmişler.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Arkadaşım bana doğum günü paketi aldı.,Arkadaşım beni doğum günü paketi aldı.,bana,beni,aldı,argument_structure,ditransitive
Antrenör atletlere beslenme projeyi hazırladı.,Antrenör atletleri beslenme projeyi hazırladı.,atletlere,atletleri,hazırladı,argument_structure,ditransitive
Komşumuz bize taze meyve getirdi.,Komşumuz bizi taze meyve getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Antrenör sporculara antrenman sunucuyu hazırladı.,Antrenör sporcuları antrenman sunucuyu hazırladı.,sporculara,sporcuları,hazırladı,argument_structure,ditransitive
Anlaşılıyor ki arkadaşım bana son gelişmeleri anlattı.,Anlaşılıyor ki arkadaşım beni son gelişmeleri anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Kuzenim kediyi ormana götürdü.,Kuzenim kediye ormana götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Halam bana maske hediye etti.,Halam beni maske hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Anne bebeğine mamasını kaşıkla verdi.,Anne bebeğini mamasını kaşıkla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir hayvanın dalına bağladı.,Dileklerini yazdığı kağıda bir hayvanın dalına bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Arkadaşım bana festival bileti aldı.,Arkadaşım beni festival bileti aldı.,bana,beni,aldı,argument_structure,ditransitive
Takı töreninde kızın yakasına çeyrek altın taktılar.,Takı töreninde kızın yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Doğum günüm diye barmen bana bira ısmarladı.,Doğum günüm diye barmen beni bira ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Manav bize en taze hayvanlardan ayırdı.,Manav bizi en taze hayvanlardan ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Annem pastanın üstüne biraz kakao koyar.,Annem pastanın üstünü biraz kakao koyar.,üstüne,üstünü,koyar,argument_structure,ditransitive
Babam bugün markette ortaokul öğretmenime rastlamış.,Babam bugün marketi ortaokul öğretmenime rastlamış.,markette,marketi,rastlamış,argument_structure,ditransitive
Manav bize en lezzetli malzemelerden ayırdı.,Manav bizi en lezzetli malzemelerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Şair dinleyicilerine yeni şiir dizini tanıttı.,Şair dinleyicilerini yeni şiir dizini tanıttı.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Kız arkadaşım köpeği komşuya götürdü.,Kız arkadaşım köpeğe komşuya götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Şair dinleyicilerine yeni mektup kitabını tanıttı.,Şair dinleyicilerini yeni mektup kitabını tanıttı.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane ununa bulayın.,Kılçıklarını temizlediğiniz balığa pane ununa bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Takı töreninde geline burma platin taktılar.,Takı töreninde gelini burma platin taktılar.,geline,gelini,taktılar,argument_structure,ditransitive
Üzerime koca bir kasık kahveyi döktüm.,Üzerimde koca bir kasık kahveyi döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Öğretmen öğrencilere yeni oyu öğretti.,Öğretmen öğrencileri yeni oyu öğretti.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
Üzerime koca bir bardak suyu döktüm.,Üzerimde koca bir bardak suyu döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Dedem torunlarına komediler anlattı.,Dedem torunlarını komediler anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Üzerime koca bir bardak fincanı döktüm.,Üzerimde koca bir bardak fincanı döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Teyzem oyuncakları kızlara dağıttı.,Teyzem oyuncaklara kızlara dağıttı.,oyuncakları,oyuncaklara,dağıttı,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın dalına bağladı.,Dileklerini yazdığı kağıda bir ağacın dalına bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Halam bana kask hediye etti.,Halam beni kask hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Arkadaşım bana yeni bir sezonu önerdi.,Arkadaşım benle yeni bir sezonu önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Babam bugün markette üniversite öğretmenime rastlamış.,Babam bugün marketi üniversite öğretmenime rastlamış.,markette,marketi,rastlamış,argument_structure,ditransitive
Belki sana bu konudaki ilhamlarından bahsetmiştir.,Belki seni bu konudaki ilhamlarından bahsetmiştir.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Belki size bu konudaki fikirlerinden bahsetmiştir.,Belki sizi bu konudaki fikirlerinden bahsetmiştir.,size,sizi,bahsetmiştir,argument_structure,ditransitive
Teyzem kitapları erkeklere dağıttı.,Teyzem kitaplara erkeklere dağıttı.,kitapları,kitaplara,dağıttı,argument_structure,ditransitive
Garson müşterilere kıyafetleri servis etti.,Garson müşterileri kıyafetleri servis etti.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Halam bana çanta hediye etti.,Halam beni çanta hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Belki sana bu konudaki fikirlerinden bahsetmiştir.,Belki seni bu konudaki fikirlerinden bahsetmiştir.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Ayakkabılarını çıkarıp paltosunu girişteki eve astı.,Ayakkabılarını çıkarıp paltosuna girişteki eve astı.,paltosunu,paltosuna,astı,argument_structure,ditransitive
Arkadaşım bana doğum günü sertifikası aldı.,Arkadaşım beni doğum günü sertifikası aldı.,bana,beni,aldı,argument_structure,ditransitive
Kız ablam kediyi veterinere götürdü.,Kız ablam kediye veterinere götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Anne bebeğine sütü suyla verdi.,Anne bebeğini sütü suyla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Evlerinin arka bahçesine incir ağacı dikmişler.,Evlerinin arka bahçesinden incir ağacı dikmişler.,arka bahçesine,arka bahçesinden,dikmişler,argument_structure,ditransitive
Doğum günüm diye barmen bana rakı ısmarladı.,Doğum günüm diye barmen beni rakı ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Çocuk dedesine en sevdiği senaryoyu verdi.,Çocuk dedesini en sevdiği senaryoyu verdi.,dedesine,dedesini,verdi,argument_structure,ditransitive
Yıllardır kendini sadece sanatına adamış.,Yıllardır kendinden sadece sanatına adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Annem abime yeni bir kale aldı.,Annem abimi yeni bir kale aldı.,abime,abimi,aldı,argument_structure,ditransitive
Anlaşılan kuzenim köpeği parka götürdü.,Anlaşılan kuzenim köpeğe parka götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Dedem torunlarına senaryolar anlattı.,Dedem torunlarını senaryolar anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Dedem torunlarına fıkralar anlattı.,Dedem torunlarını fıkralar anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Mahalledeki çocuklar ofisin camına yine taş atıyor.,Mahalledeki çocuklar ofisin camını yine taş atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Bu sergiyi neşesini kaybetmeyen annelere ithaf ediyorum.,Bu sergiye neşesini kaybetmeyen annelere ithaf ediyorum.,sergiyi,sergiye,ithaf ediyorum,argument_structure,ditransitive
Kuzenim kediyi eve götürdü.,Kuzenim kediye eve götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Doğum günüm diye kurye bana limonata ısmarladı.,Doğum günüm diye kurye beni limonata ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Şair dinleyicilerine yeni yorum kitabını tanıttı.,Şair dinleyicilerini yeni yorum kitabını tanıttı.,dinleyicilerine,dinleyicilerini,tanıttı,argument_structure,ditransitive
Kız kuzenim köpeği komşuya götürdü.,Kız kuzenim köpeğe komşuya götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Üzerime koca bir bardak şekeri döktüm.,Üzerimde koca bir bardak şekeri döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Teyzem oyuncakları erkeklere dağıttı.,Teyzem oyuncaklara erkeklere dağıttı.,oyuncakları,oyuncaklara,dağıttı,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane maddene bulayın.,Kılçıklarını temizlediğiniz balığa pane maddene bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Çocuk annesine yeni bir melodiyi söyledi.,Çocuk annesini yeni bir melodiyi söyledi.,annesine,annesini,söyledi,argument_structure,ditransitive
Kız kardeşim kediyi veterinere götürdü.,Kız kardeşim kediye veterinere götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Öğretmen öğrencilere yeni şarkıyı öğretti.,Öğretmen öğrencileri yeni şarkıyı öğretti.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
Küçükken ekmeğimi hep sosun suyuna banardım.,Küçükken ekmeğimde hep sosun suyuna banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Yıllardır kendini sadece dinine adamış.,Yıllardır kendinden sadece dinine adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Annem abime yeni bir fatura aldı.,Annem abimi yeni bir fatura aldı.,abime,abimi,aldı,argument_structure,ditransitive
Dedem torunlarına filmler anlattı.,Dedem torunlarını filmler anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Annem pastanın üstüne biraz krema koyar.,Annem pastanın üstünü biraz krema koyar.,üstüne,üstünü,koyar,argument_structure,ditransitive
