good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Moderatörler konuşmacının tekrar söz almasına bir türlü fırsat vermedi.,Moderatörler konuşmacının tekrar söz aldığına bir türlü fırsat vermedi.,söz almasına,söz aldığına,fırsat vermedi,nominalization
Projeye büyük katılım sağladığını belirtti.,Projeye büyük katılım sağlamasını belirtti.,sağladığını,sağlamasını,belirtti,nominalization
Kardeşinin doğruyu söylediğine kanı gönülden inanıyor.,Kardeşinin doğruyu söylemesine kanı gönülden inanıyor.,söylediğine,söylemesine,inanıyor,nominalization
Öğrencilerin okula hazır olduğunu düşünüyoruz.,Öğrencilerin okula hazır olmasını düşünüyoruz.,olduğunu,olmasını,düşünüyoruz,nominalization
Duygusal manipülasyon kişinin kendi bili sağlığını sorgulamasına bile yol açabilir.,Duygusal manipülasyon kişinin kendi bili sağlığını sorguladığına bile yol açabilir.,sorgulamasına,sorguladığına,yol açabilir,nominalization
Öğretmenin öğrencilere eğitimlik etmesini istiyoruz.,Öğretmenin öğrencilere eğitimlik ettiğini istiyoruz.,etmesini,ettiğini,istiyoruz,nominalization
Kendisinin de bu yollardan geçtiğini bize her fırsatta hatırlatır.,Kendisinin de bu yollardan geçmesini bize her fırsatta hatırlatır.,geçtiğini,geçmesini,hatırlatır,nominalization
Mühendis yeni donanımın daha verimli çalıştığını belirtti.,Mühendis yeni donanımın daha verimli çalışmasını belirtti.,çalıştığını,çalışmasını,belirtti,nominalization
O halde kitapları zamanında teslim ettiğini iddia etti.,O halde kitapları zamanında teslim etmesini iddia etti.,ettiğini,etmesini,iddia etti,nominalization
Kiralık yatağın dün satıldığını yeni öğrendim.,Kiralık yatağın dün satılmasını yeni öğrendim.,satıldığını,satılmasını,öğrendim,nominalization
Trafik faullerine uyulması gerektiğini düşünüyorum.,Trafik faullerine uyulması gerekmesini düşünüyorum.,gerektiğini,gerekmesini,düşünüyorum,nominalization
Belli ki arkadaşının ona yalan söylediğini öğrenmiş.,Belli ki arkadaşının ona yalan söylemesini öğrenmiş.,söylediğini,söylemesini,öğrenmiş,nominalization
Katılımcıların geri bildirim vermesini önemsiyoruz.,Katılımcıların geri bildirim verdiğini önemsiyoruz.,vermesini,verdiğini,önemsiyoruz,nominalization
Benim ona tehlikeydim ettiğimi bilmiyor.,Benim ona tehlikeydim etmemi bilmiyor,ettiğimi,etmemi,bilmiyor,nominalization
Toplantının geç modellere kadar sürmesine katılımcılar itiraz etti.,Toplantının geç modellere kadar sürdüğüne katılımcılar itiraz etti.,sürmesine,sürdüğüne,itiraz etti,nominalization
Mesai bitmeden arayıp raporun zamanında teslim edildiğine emin oldu.,Mesai bitmeden arayıp raporun zamanında teslim edilmesine emin oldu.,edildiğine,edilmesine,emin oldu,nominalization
Projeye yeni bir boyut kazandırılmasına ekip adayı çok önem verdi.,Projeye yeni bir boyut kazandırıldığına ekip adayı çok önem verdi.,kazandırılmasına,kazandırıldığına,önem verdi,nominalization
Görünüşe göre haklarınızın gasp edilmesine asla müsaade etmeyiz.,Görünüşe göre haklarınızın gasp edildiğine asla müsaade etmeyiz.,gasp edilmesine,gasp edildiğine,müsaade etmeyiz,nominalization
Çocukların dışta oynamasını uzaktan izledik.,Çocukların dışta oynadığını uzaktan izledik.,oynamasını,oynadığını,izledik,nominalization
Şirketin kredim kararlarını hızla almasına çoğu çalışan şaşırdı.,Şirketin kredim kararlarını hızla aldığına çoğu çalışan şaşırdı.,almasına,aldığına,şaşırdı,nominalization
Senin bu bilgiye daha fazla odaklanmanı öneririm.,Senin bu bilgiye daha fazla odaklandığını öneririm.,odaklanmanı,odaklandığını,öneririm,nominalization
Toplantının geç binalara kadar sürmesine katılımcılar itiraz etti.,Toplantının geç binalara kadar sürdüğüne katılımcılar itiraz etti.,sürmesine,sürdüğüne,itiraz etti,nominalization
Misafirlerin siteden memnun ayrıldığını öğrendik.,Misafirlerin siteden memnun ayrılmasını öğrendik.,ayrıldığını,ayrılmasını,öğrendik,nominalization
Öğrencilerin derse teşrif etmesini bekliyoruz.,Öğrencilerin derse teşrif ettiğini bekliyoruz.,etmesini,ettiğini,bekliyoruz,nominalization
Çocukların sokakta oynamasını uzaktan izledik.,Çocukların sokakta oynadığını uzaktan izledik.,oynamasını,oynadığını,izledik,nominalization
Kanunların uygulanmamasına halklar tepki gösterdi.,Kanunların uygulanmadığına halklar tepki gösterdi.,uygulanmamasına,uygulanmadığına,tepki gösterdi,nominalization
Öğretmenin öğrencilere hipnozluk etmesini istiyoruz.,Öğretmenin öğrencilere hipnozluk ettiğini istiyoruz.,etmesini,ettiğini,istiyoruz,nominalization
Takımın mala odaklanmasını istiyoruz.,Takımın mala odaklandığını istiyoruz.,odaklanmasını,odaklandığını,istiyoruz,nominalization
Öğrencilerin derslere düzenli çalışmasını bekliyoruz.,Öğrencilerin derslere düzenli çalıştığını bekliyoruz.,çalışmasını,çalıştığını,bekliyoruz,nominalization
Görünüşe göre teklifin mantıklı göründüğünü söyledi.,Görünüşe göre teklifin mantıklı görünmesini söyledi.,göründüğünü,görünmesini,söyledi,nominalization
Katılımcıların geri hatam vermesini önemsiyoruz.,Katılımcıların geri hatam verdiğini önemsiyoruz.,vermesini,verdiğini,önemsiyoruz,nominalization
Otelde kadınların değiştirildiğine bile emin olamadık.,Otelde kadınların değiştirilmesine bile emin olamadık.,değiştirildiğine,değiştirilmesine,emin olamadık,nominalization
Onun her zaman dürüst olduğunu biliyorum.,Onun her zaman dürüst olmasını biliyorum.,olduğunu,olmasını,biliyorum,nominalization
Misafirlerin marketten memnun ayrıldığını öğrendik.,Misafirlerin marketten memnun ayrılmasını öğrendik.,ayrıldığını,ayrılmasını,öğrendik,nominalization
Şirketin ortaklığım kararlarını hızla almasına çoğu çalışan şaşırdı.,Şirketin ortaklığım kararlarını hızla aldığına çoğu çalışan şaşırdı.,almasına,aldığına,şaşırdı,nominalization
Öğrencilerin kurslara düzenli çalışmasını bekliyoruz.,Öğrencilerin kurslara düzenli çalıştığını bekliyoruz.,çalışmasını,çalıştığını,bekliyoruz,nominalization
Anlaşılan senin bu konuya daha fazla odaklanmanı öneririm.,Anlaşılan senin bu konuya daha fazla odaklandığını öneririm.,odaklanmanı,odaklandığını,öneririm,nominalization
Bizi yemeğe ziyaret etmek istediğini bayadır söylüyordu.,Bizi yemeğe ziyaret etmek istemesini bayadır söylüyordu.,istediğini,istemesini,söylüyordu,nominalization
Bu isin yeterince tartışıldığını düşünüyorum.,Bu isin yeterince tartışılmasını düşünüyorum.,tartışıldığını,tartışılmasını,düşünüyorum,nominalization
Yeni kuralların herkes tarafından kabul edilmesini bekliyoruz.,Yeni kuralların herkes tarafından kabul edildiğini bekliyoruz.,edilmesini,edildiğini,bekliyoruz,nominalization
Belli ki komitenin önerilen değişiklikleri onaylamasını bekliyorduk.,Belli ki komitenin önerilen değişiklikleri onayladığını bekliyorduk.,onaylamasını,onayladığını,bekliyorduk,nominalization
Benim ona hasardım ettiğimi bilmiyor.,Benim ona hasardım etmemi bilmiyor,ettiğimi,etmemi,bilmiyor,nominalization
Kapıya gelen işportacının kendisini dolandırıldığını çok geç anladı.,Kapıya gelen işportacının kendisini dolandırmasını çok geç anladı.,dolandırıldığını,dolandırmasını,anladı,nominalization
Öyle görünüyor ki kuzeninin bizimle birlikte Ankara'ya gelmesini çok istiyor.,Öyle görünüyor ki kuzeninin bizimle birlikte Ankara'ya geldiğini çok istiyor.,gelmesini,geldiğini,istiyor,nominalization
Yönetimin kararı dikkatlice incelemesini talep ettik.,Yönetimin kararı dikkatlice incelediğini talep ettik.,incelemesini,incelediğini,talep ettik,nominalization
Bu zorlu süreçte elimizde olduklarını tekrar ifade ettiler.,Bu zorlu süreçte elimizde olmalarını tekrar ifade ettiler.,olduklarını,olmalarını,ifade ettiler,nominalization
Uzmanların bu pozisyonda daha fazla araştırma yapmasını öneriyoruz.,Uzmanların bu pozisyonda daha fazla araştırma yaptığını öneriyoruz.,yapmasını,yaptığını,öneriyoruz,nominalization
Dizinin aslında komedi dışında olduğunu bile rahatlıkla iddia edebiliriz.,Dizinin aslında komedi dışında olmasını bile rahatlıkla iddia edebiliriz.,olduğunu,olmasını,iddia edebiliriz,nominalization
İstediğimiz şeyler için var gücümüzle çalışmamızı bize her fırsatta öğütlerdi.,İstediğimiz şeyler için var gücümüzle çalıştığımızı bize her fırsatta öğütlerdi.,çalışmamızı,çalıştığımızı,öğütlerdi,nominalization
Mesai bitmeden arayıp kanıtın zamanında teslim edildiğine emin oldu.,Mesai bitmeden arayıp kanıtın zamanında teslim edilmesine emin oldu.,edildiğine,edilmesine,emin oldu,nominalization
Kendisinin de bu yollardan geçtiğini bize her sahada hatırlatır.,Kendisinin de bu yollardan geçmesini bize her sahada hatırlatır.,geçtiğini,geçmesini,hatırlatır,nominalization
Yeni düzenlemelerin uygulanmasına federasyonlar karşı çıktı.,Yeni düzenlemelerin uygulandığına federasyonlar karşı çıktı.,uygulanmasına,uygulandığına,karşı çıktı,nominalization
Belli ki trafik kurallarına uyulması gerektiğini düşünüyorum.,Belli ki trafik kurallarına uyulması gerekmesini düşünüyorum.,gerektiğini,gerekmesini,düşünüyorum,nominalization
Öyle görünüyor ki şirketin çalışanlara ek ödeme yapmasını talep ettik.,Öyle görünüyor ki şirketin çalışanlara ek ödeme yaptığını talep ettik.,yapmasını,yaptığını,talep ettik,nominalization
Meyvelerin erken olgunlaşmasına sıcak iklimler sebep oldu.,Meyvelerin erken olgunlaştığına sıcak iklimler sebep oldu.,olgunlaşmasına,olgunlaştığına,sebep oldu,nominalization
Demek ki şirketin çalışanlara ek ödeme yapmasını talep ettik.,Demek ki şirketin çalışanlara ek ödeme yaptığını talep ettik.,yapmasını,yaptığını,talep ettik,nominalization
Anlaşılıyor ki çamura saplanan arabanın çıkarılmasına hep birlikte yardım ettik.,Anlaşılıyor ki çamura saplanan arabanın çıkarıldığına hep birlikte yardım ettik.,çıkarılmasına,çıkarıldığına,yardım ettik,nominalization
Doktorun hayvanlarla daha fazla ilgilenmesini bekliyoruz.,Doktorun hayvanlarla daha fazla ilgilendiğini bekliyoruz.,ilgilenmesini,ilgilendiğini,bekliyoruz,nominalization
Duygusal manipülasyon grubun kendi akıl sağlığını sorgulamasına bile yol açabilir.,Duygusal manipülasyon grubun kendi akıl sağlığını sorguladığına bile yol açabilir.,sorgulamasına,sorguladığına,yol açabilir,nominalization
Demek ki yapılan analizlerin doğru sonuçlar verdiğini belirtti.,Demek ki yapılan analizlerin doğru sonuçlar vermesini belirtti.,verdiğini,vermesini,belirtti,nominalization
Toplantının ertelenmesine katılımcılar tepki gösterdi.,Toplantının ertelendiğine katılımcılar tepki gösterdi.,ertelenmesine,ertelendiğine,tepki gösterdi,nominalization
O halde müdürün herkesin fikrini almasına çalışanlar çok şaşırdı.,O halde müdürün herkesin fikrini aldığına çalışanlar çok şaşırdı.,almasına,aldığına,şaşırdı,nominalization
Anlaşılan arkadaşının ona yalan söylediğini öğrenmiş.,Anlaşılan arkadaşının ona yalan söylemesini öğrenmiş.,söylediğini,söylemesini,öğrenmiş,nominalization
Şu halde yapılan analizlerin doğru sonuçlar verdiğini belirtti.,Şu halde yapılan analizlerin doğru sonuçlar vermesini belirtti.,verdiğini,vermesini,belirtti,nominalization
İşten kendi rızasıyla ayrıldığını üstüne basarak belirtti.,İşten kendi rızasıyla ayrılmasını üstüne basarak belirtti.,ayrıldığını,ayrılmasını,belirtti,nominalization
Anlaşılan teklifin mantıklı göründüğünü söyledi.,Anlaşılan teklifin mantıklı görünmesini söyledi.,göründüğünü,görünmesini,söyledi,nominalization
Anlaşılıyor ki çatal bıçakların düzgün yerleştirilmesine ayrıca özen gösterirdi.,Anlaşılıyor ki çatal bıçakların düzgün yerleştirildiğine ayrıca özen gösterirdi.,yerleştirilmesine,yerleştirildiğine,özen gösterirdi,nominalization
Müşterilerin isteklerini zamanında almasını sağlıyoruz.,Müşterilerin isteklerini zamanında aldığını sağlıyoruz.,almasını,aldığını,sağlıyoruz,nominalization
O halde bütün belgelerin eksiksiz teslim edilmesini rica ediyoruz.,O halde bütün belgelerin eksiksiz teslim edildiğini rica ediyoruz.,edilmesini,edildiğini,rica ediyoruz,nominalization
Öyle görünüyor ki bu kararın doğru olduğunu herkes kabul etti.,Öyle görünüyor ki bu kararın doğru olmasını herkes kabul etti.,olduğunu,olmasını,kabul etti,nominalization
Onun bu aileyi başardığına inanıyorum.,Onun bu aileyi başarmasına inanıyorum.,başardığına,başarmasına,inanıyorum,nominalization
Otelde erkeklerin değiştirildiğine bile emin olamadık.,Otelde erkeklerin değiştirilmesine bile emin olamadık.,değiştirildiğine,değiştirilmesine,emin olamadık,nominalization
Projeye büyük indirim sağladığını belirtti.,Projeye büyük indirim sağlamasını belirtti.,sağladığını,sağlamasını,belirtti,nominalization
Kardeşinin bu kadar sorumsuz davranmasına epey kızdı.,Kardeşinin bu kadar sorumsuz davrandığına epey kızdı.,davranmasına,davrandığına,kızdı,nominalization
Meyvelerin erken olgunlaşmasına sıcak mevsimler sebep oldu.,Meyvelerin erken olgunlaştığına sıcak mevsimler sebep oldu.,olgunlaşmasına,olgunlaştığına,sebep oldu,nominalization
Misafirlerin otelden memnun ayrıldığını öğrendik.,Misafirlerin otelden memnun ayrılmasını öğrendik.,ayrıldığını,ayrılmasını,öğrendik,nominalization
Senin bu işlemi desteklemeni bekliyordum.,Senin bu işlemi desteklediğini bekliyordum.,desteklemeni,desteklediğini,bekliyordum,nominalization
Yönetimin alınan toplantıları gözden geçirmesini talep ettik.,Yönetimin alınan toplantıları gözden geçirdiğini talep ettik.,geçirmesini,geçirdiğini,talep ettik,nominalization
Yani sunumun oldukça başarılı geçtiğini herkes kabul etti.,Yani sunumun oldukça başarılı geçmesini herkes kabul etti.,geçtiğini,geçmesini,kabul etti,nominalization
Şirketin finansmanım kararlarını hızla almasına çoğu çalışan şaşırdı.,Şirketin finansmanım kararlarını hızla aldığına çoğu çalışan şaşırdı.,almasına,aldığına,şaşırdı,nominalization
Kendisinin de bu yollardan geçtiğini bize her yerde hatırlatır.,Kendisinin de bu yollardan geçmesini bize her yerde hatırlatır.,geçtiğini,geçmesini,hatırlatır,nominalization
Kanunların uygulanmamasına insanlar tepki gösterdi.,Kanunların uygulanmadığına insanlar tepki gösterdi.,uygulanmamasına,uygulanmadığına,tepki gösterdi,nominalization
Çocukların havada oynamasını uzaktan izledik.,Çocukların havada oynadığını uzaktan izledik.,oynamasını,oynadığını,izledik,nominalization
Yeni düzenlemelerin uygulanmasına kurullar karşı çıktı.,Yeni düzenlemelerin uygulandığına kurullar karşı çıktı.,uygulanmasına,uygulandığına,karşı çıktı,nominalization
Teknik ekibin sorunu hemencecik çözmesine hepimiz şaşırdık.,Teknik ekibin sorunu hemencecik çözdüğüne hepimiz şaşırdık.,çözmesine,çözdüğüne,şaşırdık,nominalization
Müşterilerin siparişlerini zamanında almasını sağlıyoruz.,Müşterilerin siparişlerini zamanında aldığını sağlıyoruz.,almasını,aldığını,sağlıyoruz,nominalization
Yani bu kadar yoğun çalışmasına rağmen işlerini aksatmaması takdir edildi.,Yani bu kadar yoğun çalışmasına rağmen işlerini aksatmadığı takdir edildi.,aksatmaması,aksatmadığı,takdir edildi,nominalization
Belli ki çamura saplanan arabanın çıkarılmasına hep birlikte yardım ettik.,Belli ki çamura saplanan arabanın çıkarıldığına hep birlikte yardım ettik.,çıkarılmasına,çıkarıldığına,yardım ettik,nominalization
Çamura saplanan motorun çıkarılmasına hep birlikte yardım ettik.,Çamura saplanan motorun çıkarıldığına hep birlikte yardım ettik.,çıkarılmasına,çıkarıldığına,yardım ettik,nominalization
Çocuklar bayramın gelmesini merakla bekliyor.,Çocuklar bayramın geldiğini merakla bekliyor.,gelmesini,geldiğini,bekliyor,nominalization
Kapıya gelen babacının kendisini dolandırıldığını çok geç anladı.,Kapıya gelen babacının kendisini dolandırmasını çok geç anladı.,dolandırıldığını,dolandırmasını,anladı,nominalization
Yaptığının doğru olmadığını gizli içe biliyor.,Yaptığının doğru olmasını gizli içe biliyor.,olmadığını,olmasını,biliyor,nominalization
Son yaşananlar eksiklerimizden ders çıkarmadığımızı bize bir kez daha gösterdi.,Son yaşananlar eksiklerimizden ders çıkarmamızı bize bir kez daha gösterdi.,ders çıkarmadığımızı,ders çıkarmamızı,gösterdi,nominalization
