good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Onun cevabına çok şaşırdım.,Onun cevabını çok şaşırdım.,cevabına,cevabını,şaşırdım,argument_structure,transitive
Bu heykellere hayran kaldım.,Bu heykelleri hayran kaldım.,heykellere,heykelleri,hayran kaldım,argument_structure,transitive
Ona büyük saygı duyuyorum.,Onu büyük saygı duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Yeni bir kursa girdim.,Yeni bir kursu girdim.,kursa,kursu,girdim,argument_structure,transitive
Ona koşulsuz destek oluyorum.,Onu koşulsuz destek oluyorum.,ona,onu,oluyorum,argument_structure,transitive
Bu fikre çok önem veriyoruz.,Bu fikri çok önem veriyoruz.,fikre,fikri,veriyoruz,argument_structure,transitive
Son gelişmeye çok şaşırdım.,Son gelişmeyi çok şaşırdım.,gelişmeye,gelişmeyi,şaşırdım,argument_structure,transitive
Sana her zaman güveniyorum.,Seni her zaman güveniyorum.,sana,seni,güveniyorum,argument_structure,transitive
Bu yarışmaya günlerce çalıştım.,Bu yarışmayı günlerce çalıştım.,yarışmaya,yarışmayı,çalıştım,argument_structure,transitive
Onun söylediklerine katılıyorum.,Onun söylediklerini katılıyorum.,söylediklerine,söylediklerini,katılıyorum,argument_structure,transitive
Şu yeniliklere oldum olası alışamadım.,Şu yenilikleri oldum olası alışamadım.,yeniliklere,yenilikleri,alışamadım,argument_structure,transitive
Babamın öğütlerine kulak verdim.,Babamın öğütlerini kulak verdim.,öğütlerine,öğütlerini,verdim,argument_structure,transitive
Seminere katılmaya karar verdim.,Semineri katılmayı karar verdim.,katılmaya,katılmayı,karar verdim,argument_structure,transitive
Kumara fazla kapılmamalısın.,Kumarı fazla kapılmamalısın.,kumara,kumarı,kapılmamalısın,argument_structure,transitive
Dün söylediklerinden sonra sana çok kırıldım.,Dün söylediklerinden sonra seni çok kırıldım.,sana,seni,kırıldım,argument_structure,transitive
Konsere katılmayı düşünüyorlar.,Konsere katılmaya düşünüyorlar.,katılmayı,katılmaya,düşünüyorlar,argument_structure,transitive
Gözden kaçan detaya çok üzüldüm.,Gözden kaçan detayı çok üzüldüm.,detaya,detayı,üzüldüm,argument_structure,transitive
Tartışmaya girmeyi sevmem.,Tartışmaya girmeye sevmem.,girmeyi,girmeye,sevmem,argument_structure,transitive
Seni burada görmeye son zamanlarda iyice alıştım.,Seni burada görmeyi son zamanlarda iyice alıştım.,görmeye,görmeyi,alıştım,argument_structure,transitive
Zorlu bir maratondan sonra elde ettiğin bu zafere sevindim.,Zorlu bir maratondan sonra elde ettiğin bu zaferi sevindim.,zafere,zaferi,sevindim,argument_structure,transitive
Eda hediyesine resmen bayıldı.,Eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
O halde eda hediyesine resmen bayıldı.,O halde eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Görünüşe göre eda hediyesine resmen bayıldı.,Görünüşe göre eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Anlaşılıyor ki eda hediyesine resmen bayıldı.,Anlaşılıyor ki eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Yani eda hediyesine resmen bayıldı.,Yani eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Anlaşılan eda hediyesine resmen bayıldı.,Anlaşılan eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Şu halde eda hediyesine resmen bayıldı.,Şu halde eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Demek ki eda hediyesine resmen bayıldı.,Demek ki eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
Öyle görünüyor ki eda hediyesine resmen bayıldı.,Öyle görünüyor ki eda hediyesini resmen bayıldı.,hediyesine,hediyesini,bayıldı,argument_structure,transitive
İnternette her okuduğun şeye koru körüne inanma.,İnternette her okuduğun şeyi koru körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
İnternette her okuduğun şeye körü körüne inanma.,İnternette her okuduğun şeyi körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
İnternette her okuduğun şeye körü koruna inanma.,İnternette her okuduğun şeyi körü koruna inanma.,şeye,şeyi,inanma,argument_structure,transitive
İnternette her okuduğun şeye körü tersine inanma.,İnternette her okuduğun şeyi körü tersine inanma.,şeye,şeyi,inanma,argument_structure,transitive
Öyle görünüyor ki i̇nternette her okuduğun şeye körü körüne inanma.,Öyle görünüyor ki i̇nternette her okuduğun şeyi körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
Görünüşe göre i̇nternette her okuduğun şeye körü körüne inanma.,Görünüşe göre i̇nternette her okuduğun şeyi körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
O halde i̇nternette her okuduğun şeye körü körüne inanma.,O halde i̇nternette her okuduğun şeyi körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
Anlaşılan i̇nternette her okuduğun şeye körü körüne inanma.,Anlaşılan i̇nternette her okuduğun şeyi körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
Şu halde i̇nternette her okuduğun şeye körü körüne inanma.,Şu halde i̇nternette her okuduğun şeyi körü körüne inanma.,şeye,şeyi,inanma,argument_structure,transitive
Eşimin zevkine çok güvenirim.,Eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Anlaşılan eşimin zevkine çok güvenirim.,Anlaşılan eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Şu halde eşimin zevkine çok güvenirim.,Şu halde eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Öyle görünüyor ki eşimin zevkine çok güvenirim.,Öyle görünüyor ki eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Yani eşimin zevkine çok güvenirim.,Yani eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Anlaşılıyor ki eşimin zevkine çok güvenirim.,Anlaşılıyor ki eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Görünüşe göre eşimin zevkine çok güvenirim.,Görünüşe göre eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Demek ki eşimin zevkine çok güvenirim.,Demek ki eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
O halde eşimin zevkine çok güvenirim.,O halde eşimin zevkini çok güvenirim.,zevkine,zevkini,güvenirim,argument_structure,transitive
Anlaşılan ben artık sana sadece acıyorum.,Anlaşılan ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Görünüşe göre ben artık sana sadece acıyorum.,Görünüşe göre ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Şu halde ben artık sana sadece acıyorum.,Şu halde ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Belli ki ben artık sana sadece acıyorum.,Belli ki ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Öyle görünüyor ki ben artık sana sadece acıyorum.,Öyle görünüyor ki ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Yani ben artık sana sadece acıyorum.,Yani ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Demek ki ben artık sana sadece acıyorum.,Demek ki ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Anlaşılıyor ki ben artık sana sadece acıyorum.,Anlaşılıyor ki ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
O halde ben artık sana sadece acıyorum.,O halde ben artık seni sadece acıyorum.,sana,seni,acıyorum,argument_structure,transitive
Hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Belli ki hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Belli ki hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Görünüşe göre hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Görünüşe göre hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
O halde hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,O halde hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Yani hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Yani hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Demek ki hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Demek ki hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Öyle görünüyor ki hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Öyle görünüyor ki hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Anlaşılıyor ki hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Anlaşılıyor ki hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Anlaşılan hemşire hanım yaşlı hastayla özel olarak ilgileniyor.,Anlaşılan hemşire hanım yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Bizim ufaklık saya arkadaşından baya hoşlanıyormuş.,Bizim ufaklık saya arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Bizim ufaklık numaraya arkadaşından baya hoşlanıyormuş.,Bizim ufaklık numaraya arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Bizim ufaklık gruba arkadaşından baya hoşlanıyormuş.,Bizim ufaklık gruba arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Bizim ufaklık dize arkadaşından baya hoşlanıyormuş.,Bizim ufaklık dize arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Bizim ufaklık tarihe arkadaşından baya hoşlanıyormuş.,Bizim ufaklık tarihe arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Bizim ufaklık duruma arkadaşından baya hoşlanıyormuş.,Bizim ufaklık duruma arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Bizim ufaklık sete arkadaşından baya hoşlanıyormuş.,Bizim ufaklık sete arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Bizim ufaklık olaya arkadaşından baya hoşlanıyormuş.,Bizim ufaklık olaya arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Bizim ufaklık lokavta arkadaşından baya hoşlanıyormuş.,Bizim ufaklık lokavta arkadaşını baya hoşlanıyormuş.,arkadaşından,arkadaşını,hoşlanıyormuş,argument_structure,transitive
Muhalefet partisi erken seçimde hala ısrar ediyor.,Muhalefet partisi erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Muhalefet lideri erken seçimde hala ısrar ediyor.,Muhalefet lideri erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Muhalefet federasyonu erken seçimde hala ısrar ediyor.,Muhalefet federasyonu erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Muhalefet adası erken seçimde hala ısrar ediyor.,Muhalefet adası erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Muhalefet projesi erken seçimde hala ısrar ediyor.,Muhalefet projesi erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Muhalefet devleti erken seçimde hala ısrar ediyor.,Muhalefet devleti erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Muhalefet programı erken seçimde hala ısrar ediyor.,Muhalefet programı erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Muhalefet cemaati erken seçimde hala ısrar ediyor.,Muhalefet cemaati erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Muhalefet koalisyonu erken seçimde hala ısrar ediyor.,Muhalefet koalisyonu erken seçimi hala ısrar ediyor.,seçimde,seçimi,ısrar ediyor,argument_structure,transitive
Şu halde saygısız çalışan yaşlı kadınla resmen alay etti.,Şu halde saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
O halde saygısız çalışan yaşlı kadınla resmen alay etti.,O halde saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Belli ki saygısız çalışan yaşlı kadınla resmen alay etti.,Belli ki saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Yani saygısız çalışan yaşlı kadınla resmen alay etti.,Yani saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Görünüşe göre saygısız çalışan yaşlı kadınla resmen alay etti.,Görünüşe göre saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Demek ki saygısız çalışan yaşlı kadınla resmen alay etti.,Demek ki saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Öyle görünüyor ki saygısız çalışan yaşlı kadınla resmen alay etti.,Öyle görünüyor ki saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Anlaşılıyor ki saygısız çalışan yaşlı kadınla resmen alay etti.,Anlaşılıyor ki saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
Anlaşılan saygısız çalışan yaşlı kadınla resmen alay etti.,Anlaşılan saygısız çalışan yaşlı kadına resmen alay etti.,kadınla,kadına,alay etti,argument_structure,transitive
O halde senin bu hallerinden bıktım.,O halde senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Anlaşılan senin bu hallerinden bıktım.,Anlaşılan senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Anlaşılıyor ki senin bu hallerinden bıktım.,Anlaşılıyor ki senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Görünüşe göre senin bu hallerinden bıktım.,Görünüşe göre senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Belli ki senin bu hallerinden bıktım.,Belli ki senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Yani senin bu hallerinden bıktım.,Yani senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Demek ki senin bu hallerinden bıktım.,Demek ki senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Öyle görünüyor ki senin bu hallerinden bıktım.,Öyle görünüyor ki senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Şu halde senin bu hallerinden bıktım.,Şu halde senin bu hallerine bıktım.,hallerinden,hallerine,bıktım,argument_structure,transitive
Balayı için Urla'da karar kılmışlar.,Balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Belli ki balayı için Urla'da karar kılmışlar.,Belli ki balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Anlaşılıyor ki balayı için Urla'da karar kılmışlar.,Anlaşılıyor ki balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Şu halde balayı için Urla'da karar kılmışlar.,Şu halde balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Demek ki balayı için Urla'da karar kılmışlar.,Demek ki balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Öyle görünüyor ki balayı için Urla'da karar kılmışlar.,Öyle görünüyor ki balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Yani balayı için Urla'da karar kılmışlar.,Yani balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Görünüşe göre balayı için Urla'da karar kılmışlar.,Görünüşe göre balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Anlaşılan balayı için Urla'da karar kılmışlar.,Anlaşılan balayı için Urla'ya karar kılmışlar.,Urla'da,Urla'ya,karar kılmışlar,argument_structure,transitive
Bu konuya çok ayağa yordum.,Bu konuyu çok ayağa yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bu konuya çok beye yordum.,Bu konuyu çok beye yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bu konuya çok kola yordum.,Bu konuyu çok kola yordum.,konuya,konuyu,yordum,argument_structure,transitive
