good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Polis şüpheliyi görünce hemen vurur.,Polis şüpheliyi görünce hemen vurar.,vurur,vurar,-,irregular_forms
Öğrenci tüm formülleri ezbere bilir.,Öğrenci tüm formülleri ezbere biler.,bilir,biler,-,irregular_forms
Anneannem her pazar bize gelir.,Anneannem her pazar bize geler.,gelir,geler,-,irregular_forms
Tren tam zamanında istasyona varır.,Tren tam zamanında istasyona varar.,varır,varar,-,irregular_forms
Çocuk saklanan arkadaşını kolayca bulur.,Çocuk saklanan arkadaşını kolayca bular.,bulur,bular,-,irregular_forms
Anneleri çocuklara aldığı oyuncakları verir.,Anneleri çocuklara aldığı oyuncakları verer.,verir,verer,-,irregular_forms
Yarışta önde giden bisikletli son dönemeçte levhaya vurur.,Yarışta önde giden bisikletli son dönemeçte levhaya vurar.,vurur,vurar,-,irregular_forms
Takım maçı kazanırsa şampiyon olur.,Takım maçı kazanırsa şampiyon olar.,olur,olar,-,irregular_forms
Misafirler akşam yemeğine tam saatinde gelir.,Misafirler akşam yemeğine tam saatinde geler.,gelir,geler,-,irregular_forms
Kargo şoförü adresi bulunca paketi verir.,Kargo şoförü adresi bulunca paketi verer.,verir,verer,-,irregular_forms
Öğrenci sınav kağıdını kontrol edince hatayı görür.,Öğrenci sınav kağıdını kontrol edince hatayı görer.,görür,görer,-,irregular_forms
Polis şüpheli aracı görünce durur.,Polis şüpheli aracı görünce durar.,durur,durar,-,irregular_forms
Şef yemeğin tadına bakınca eksikleri bilir.,Şef yemeğin tadına bakınca eksikleri biler.,bilir,biler,-,irregular_forms
Balıkçı ağını yavaşça denizden alır.,Balıkçı ağını yavaşça denizden alar.,alır,alar,-,irregular_forms
Yarışçılar bitiş çizgisine neredeyse aynı anda varır.,Yarışçılar bitiş çizgisine neredeyse aynı anda varar.,varır,varar,-,irregular_forms
Odasında kaybolan çorabı yatağın altında bulur.,Odasında kaybolan çorabı yatağın altında bular.,bulur,bular,-,irregular_forms
Bitkiler yeterince su alamayınca solar ve ölür.,Bitkiler yeterince su alamayınca solar ve öler.,ölür,öler,-,irregular_forms
Kütüphaneden ödünç aldığı kitapları zamanında geri verir.,Kütüphaneden ödünç aldığı kitapları zamanında geri verer.,verir,verer,-,irregular_forms
Define avcısı haritada gösterilen yerleri kazar ve hazineyi bulur.,Define avcısı haritada gösterilen yerleri kazar ve hazineyi bular.,bulur,bular,-,irregular_forms
Konserde sahneyi iyi görmek için ön sırada durur.,Konserde sahneyi iyi görmek için ön sırada durar.,durur,durar,-,irregular_forms
Marangoz çekiçle çiviye vurur.,Marangoz çekiçle çiviye vurar.,vurur,vurar,-,irregular_forms
Yolcular terminale aynı anda varır.,Yolcular terminale aynı anda varar.,varır,varar,-,irregular_forms
Uygulamayı açınca hesap bakiyesini görür.,Uygulamayı açınca hesap bakiyesini görer.,görür,görer,-,irregular_forms
Parkuru ilk bitiren şampiyon olur.,Parkuru ilk bitiren şampiyon olar.,olur,olar,-,irregular_forms
Köpek sahibini görünce hemen durur.,Köpek sahibini görünce hemen durar.,durur,durar,-,irregular_forms
Kaptan doğru rotayı her zaman bilir.,Kaptan doğru rotayı her zaman biler.,bilir,biler,-,irregular_forms
Misafirler davete tam zamanında gelir.,Misafirler davete tam zamanında geler.,gelir,geler,-,irregular_forms
Bitkiler susuz kaldığında çabucak ölür.,Bitkiler susuz kaldığında çabucak öler.,ölür,öler,-,irregular_forms
Saklambaçta en iyi saklananı bile hemencecik bulur.,Saklambaçta en iyi saklananı bile hemencecik bular.,bulur,bular,-,irregular_forms
Serbest vuruşta nihayet topu ağlara vurur.,Serbest vuruşta nihayet topu ağlara vurar.,vurur,vurar,-,irregular_forms
Tren rapor edilen saatte istasyona varır.,Tren rapor edilen saatte istasyona varar.,varır,varar,-,irregular_forms
Çalışan öğrenciler sınavdaki tüm soruların cevabını bilir.,Çalışan öğrenciler sınavdaki tüm soruların cevabını biler.,bilir,biler,-,irregular_forms
Postacı her sabah aynı saatte günün gazetesini verir.,Postacı her sabah aynı saatte günün gazetesini verer.,verir,verer,-,irregular_forms
Ağaç kışın yapraklarını dökmez ve yeşil kalır.,Ağaç kışın yapraklarını dökmez ve yeşil kalar.,kalır,kalar,-,irregular_forms
Polisler şüpheli bir aracı görünce hemen durur.,Polisler şüpheli bir aracı görünce hemen durar.,durur,durar,-,irregular_forms
Bahçıvan çiçekleri sulamazsa hepsi ölür.,Bahçıvan çiçekleri sulamazsa hepsi öler.,ölür,öler,-,irregular_forms
Otobüs durağa tam zamanında varır.,Otobüs durağa tam zamanında varar.,varır,varar,-,irregular_forms  
Futbolcu fırsatını yakalayınca topu ağlara vurur.,Futbolcu fırsatını yakalayınca topu ağlara vurar.,vurur,vurar,-,irregular_forms  
Yönetici toplantıda son kararı verir.,Yönetici toplantıda son kararı verer.,verir,verer,-,irregular_forms  
Doğum gününde güzel hediyeler gelir.,Doğum gününde güzel hediyeler geler.,gelir,geler,-,irregular_forms  
Film festivaline gitmek için harçlıklarını biriktip bilet alır.,Film festivaline gitmek için harçlıklarını biriktip bilet alar.,alır,alar,-,irregular_forms
Bilim insanları mikroskop altında hücreyi görür.,Bilim insanları mikroskop altında hücreyi görer.,görür,görer,-,irregular_forms  
Kuraklıkta bitkiler su alamayınca ölür.,Kuraklıkta bitkiler su alamayınca öler.,ölür,öler,-,irregular_forms 
Uçak yoğun sis nedeniyle muhtemelen geç varır.,Uçak yoğun sis nedeniyle muhtemelen geç varar.,varır,varar,-,irregular_forms  
Çiftçi hasat zamanı mahsulleri tarladan alır.,Çiftçi hasat zamanı mahsulleri tarladan alar.,alır,alar,-,irregular_forms  
Bulmacanın cevaplarını arka sayfada görür.,Bulmacanın cevaplarını arka sayfada görer.,görür,görer,-,irregular_forms  
Dedem bize her pazar kahvaltıya gelir.,Dedem bize her pazar kahvaltıya geler.,gelir,geler,-,irregular_forms  
Kaptan pusula kullanmadan yönü bilir.,Kaptan pusula kullanmadan yönü biler.,bilir,biler,-,irregular_forms  
Boksör son darbeyi indirince nakavt olur.,Boksör son darbeyi indirince nakavt olar.,olur,olar,-,irregular_forms  
Güvenlik görevlisi paketten şüphelenince durur.,Güvenlik görevlisi paketten şüphelenince durar.,durur,durar,-,irregular_forms  
Yolcu otobüsü terminale tam vaktinde varır.,Yolcu otobüsü terminale tam vaktinde varar.,varır,varar,-,irregular_forms  
Çocuk odasında kaybolan anahtarı dolabın üstünde bulur.,Çocuk odasında kaybolan anahtarı dolabın üstünde bular.,bulur,bular,-,irregular_forms  
Güneş panelleri gölgede kalınca verimli çalışmaz ve enerji üretmez olur.,Güneş panelleri gölgede kalınca verimli çalışmaz ve enerji üretmez olar.,olur,olar,-,irregular_forms  
Müşteri sipariş bedelini kapıda nakit olarak verir.,Müşteri sipariş bedelini kapıda nakit olarak verer.,verir,verer,-,irregular_forms  
